Description,CPT,Gross Charge
NI-CARDIOVERSION,92960,3124.0
CT-CHEST DIAG W,71260,3863.0
GI LAB LEV 4 1ST 15,SURG,8461.0
CATH THRMB/EMBOL 3,C1757,11234.0
PROPOFOL 10MG INJ,J2704,2.3
OR LEV 1 INI 15 MIN,SURG,8178.0
DEXAMETH 0.25MG ORAL,J8540,5.5
CONCURRENT IV THER,96368,796.0
CH-CHEST 4V DR,71048,876.0
NATALIZUMAB 1MG INJ,J2323,85.0
CC-REVASC IVL,SURG,30774.0
SP-EVAL SWL WO RADOP,92610,1287.0
"ANTIBODY ELUTION,RBC",86860,228.0
S-DRAIN PERITON ABSC,SURG,11281.0
REFIL MAIN IMPL PUMP,96522,901.0
MASSG THRPY-15MN PTA,97124,235.0
SP-T SPNE 4PLUS V DR,72074,956.0
OR LEV 2 EA ADD MIN,SURG,109.0
FERUMOXYTOL1MG NESRD,Q0138,6.3
CC-RV IVL STNT ATHR,SURG,49206.0
URGENT CARE LVL 3 NP,G0463,143.0
CT-MAXILLOFACIAL WWO,70488,2438.0
S-TIB PER REVAS STNT,SURG,85546.0
"VIRUS AB, NOS",86790,96.0
VITAMIN B-1,84425,296.0
ASPERGILLUS AG EIA,87305,78.0
TOCILIZUMAB 1MG INJ,J3262,21.0
MECH TRACTN-VST PT,97012,383.0
METHYLERGONV .2MGINJ,J2210,167.0
LEVOCARNITIN 1GM INJ,J1955,70.0
CRITICAL CARE LT 74M,99291,10189.0
EPO 1000UN INJ NESRD,J0885,96.0
OB TRIAGE LVL 4 EP,G0463,878.0
NM-HEPATOBIL W PHARM,78227,3464.0
S-INJ ANKLE ARTHRO,27648,615.0
S-BX SOFT TISS BACK,SURG,6587.0
PROBE CRYOABLATION 2,C2618,7529.0
EXTERNAL CEPHALIC VE,59412,6261.0
NI-HOLT RECRD TO48HR,93225,3831.0
MR-UPPER EXT WO,73218,9484.0
IR-RV IVL STNT TB/PR,SURG,49206.0
FLU VAC QUAD 6-35MO,90685,126.0
TOCILIZUMAB 1MG INJ,Q0249,21.0
FL-NEDL GUIDE FLUORO,77002,1772.0
FAT-LIPID FECES QUAN,82710,270.0
MR-LW JOINT WWO,73723,5918.0
LEVETIRACETAM QT,80177,74.0
DROPERIDOL UP TO 5MG,J1790,47.0
HERPES SIMP TYPE 2,86696,165.0
TBO-FILGRASTIM 1MCG,J1447,15.0
IVIG (GAMMAGD) 500MG,J1569,250.0
TACROLIMUS,80197,777.0
PANTOPRAZOLE SOD VL,C9113,47.0
HYDRALAZINE 20MG INJ,J0360,81.0
TUMOR IHC QT MAN,88360,609.0
MR-CHEST WWO,71552,3499.0
IOBENGUAN I123-DOSE,A9582,7673.0
BORDETELLA AB,86615,175.0
US-ABD PARACEN W IMG,49083,3687.0
CALCITRIOL .1MCG INJ,J0636,5.0
LE-ANKLE 2V DR,73600,751.0
PENICI G POT .6MUINJ,J2540,274.0
PHYTONADIONE 1MG INJ,J3430,25.0
CHLORPROM UP TO 50MG,J3230,172.0
HLA1 TYP HR CMP,81379,2375.0
S-DIL URETL STRC,SURG,2315.0
ACYCLOVIR 5MG INJ,J0133,1.2
ANABOLC STRD MS 1-2,80327,215.0
"TESTOSTERONE, FREE",84402,357.0
"TESTOSTERONE, BIOAVL",84410,263.0
PTEN GENE DUPDEL VAR,81323,684.0
IR-MYELO LUMBAR,62304,5132.0
HEART FLOW MEAS ADD,93572,1400.0
CONCURRENT IV THER,96368,712.0
PAP DIAG AUTO MAN RS,88175,193.0
CT-FNA W IMG 1ST LES,MANUL,1772.0
AD PROCEDURE OR LV 4,SURG,4008.0
AZATHIOPRINE 50MG TB,J7500,11.0
MEROPENEM 100MG INJ,J2185,9.4
COG SKL DV IN15 COTA,97129,265.0
CULTURE SCREEN ONLY,87081,45.0
MOLEC PATH LEV 3,81402,638.0
IR-RMVL TU CVAD W SQ,36590,4853.0
PRIMATRIX PER SQ CM,Q4110,628.0
MIDAZOL HCL 1MG INJ,J2250,9.4
PRSTHS PENILE INFL 2,C1813,14094.0
DIRECT ADMIT TO OBS,G0379,2862.0
ESTROGEN TOTAL,82672,183.0
CHEMO PUMP INF GT 8H,96425,1443.0
THERAPEUTIC DX SQ IM,96372,303.0
S-N BLOC INJ LUMBAR,SURG,3342.0
IC-PRQ DE COR REV CH,C9607,55666.0
HYDROMORPH UP TO 4MG,J1170,47.0
IR-ANGIO EXTREM UNI,75710,14243.0
INFLIXIMAB 10 MG INJ,J1745,420.0
TISSUE NON-HUMAN 8,C1763,41476.0
CT-THOR SPINE WO,72128,3486.0
"METHEMOGLOBIN, QUAN",83050,55.0
FONDAPARIN 0.5MG INJ,J1652,49.0
FL-FNA W IMG ADD LES,MANUL,1190.0
P-REMOV LOOP REC,33286,5765.0
"BLD GAS-PH,PO2,PCO2",82803,559.0
"GLUCOSE, QUANT",82947,66.0
FALLOPIAN BANDS,C1889,3670.0
CEFAZOLIN 500MG INJ,J0690,12.0
REFIL MAIN PORT PUMP,96521,922.0
MACRO EXAM ARTHROPOD,87168,31.0
S-SEC ART M THRO ADD,SURG,2205.0
S-JOINT ASP-INJ SM,20600,1013.0
VLT-GTD CA CHN AB EA,86596,298.0
IV THER AD SEQ 1 HR,96367,802.0
BR-TOMO MAMM SCR BI,77063,248.0
HEPATITIS C AB TEST,86803,232.0
METHACHOLINE CHALLEN,94070,3647.0
US-CAROTID DPLX SCAN,93880,1757.0
PARVOVIRUS AB,86747,130.0
US-PELV PREG 14 WKS,76801,839.0
DEX 5%/WATER 1000ML,J7070,182.0
LE-PELVIS DR,72170,786.0
"WESTERN BLOT, PROBE",84182,122.0
WESTERN BLOT,84181,999.0
CT-PERC CHOLECYSTOST,47490,3344.0
CATH-INFUS PERIF 6,C1751,3372.0
GUIDEWIRE LEVEL 6,C1769,6977.0
NEG PRES WND GT 50CM,97606,1792.0
FMR1 GENE ANALY AB,81243,208.0
CARBON MONOXIDE QUAN,82375,96.0
S-SPINAL TAP DIAGNST,62270,3088.0
IR-INSJ/RPLC STM LD,SURG,49206.0
IR-VASC EMB OCC BLED,SURG,56652.0
AD PROCEDURE GI LV 4,SURG,2537.0
ANCHOR/SCRW LEVEL 16,C1713,31106.0
PYRIDOXINE 100MG INJ,J3415,94.0
S-BX BONE DEEP,SURG,7963.0
FRANCISELLA TULARENS,86668,55.0
OR LEV 1 EA ADD MIN,SURG,87.0
ORTH TRN INI15MI OT,97760,406.0
PIPER/TAZOB 1G/.125G,J2543,44.0
BRCA1 2 SEQ FULL DD,81162,5109.0
US-LW EXT DPX ART UN,93926,783.0
S-TRNCTH THRM ART VN,SURG,5298.0
SIROLIMUS,80195,424.0
IR-RV IVL STN ATH TB,SURG,49206.0
VANCOMYCIN 500MG INJ,J3370,30.0
TGSA SOLID ORG NEOP,81445,1324.0
EMBOLIZ PROTECT SYS3,C1884,2362.0
IV THER AD SEQ 1 HR,96367,790.0
TOCILIZUMAB 1MG INJ,J3262,21.0
SURG PATH GROSS LVL5,88307,804.0
POTASSI CHL 2MEQ INJ,J3480,4.7
TACROLIMUS 1MG PO,J7507,11.0
LE-FOOT 3V PLUS DR,73630,693.0
CHLAMYDIA AB,86631,106.0
IMM ADM EA ADD VACC,90472,59.0
FOSAPREPITANT 1MG IJ,J1453,7.7
EPIFIX SQ CM,Q4186,879.0
ENOXAPARIN 10MG INJ,J1650,30.0
COG SKL DV ADD15 OT,97130,265.0
MNL THRPY-15 MIN PT,97140,281.0
ABCIXIMAB 10MG,J0130,4854.0
URGENT CARE LVL 5 NP,G0463,325.0
FL-BX NDL LUNG MEDIA,SURG,8106.0
CC-INS NT CVC GT 5YR,36556,5298.0
CONN TISSUE HUMAN 7,C1762,41476.0
ARSENIC,82175,162.0
UA NONAUTO W-O SCOPE,81002,56.0
DEF DRUG NOS MS 7PL,80377,53.0
IR-HYSTERSALPINGOGRM,74740,1981.0
IR-TRNSCTH THROM VEN,SURG,11887.0
BREAST IMPLANT 4,C1789,23503.0
PT EVAL- LOW CMP PTA,97161,633.0
SLEEP STAGED 1 TO 3,95808,3888.0
CT-FNA W IMG ADD LES,MANUL,1429.0
CT-THORACNTSIS W IMG,32555,4645.0
BLD COLLECT VAD,36591,432.0
AD PROCEDURE OR LV 5,SURG,4581.0
IR-RPL DUOD JEJ TUBE,49451,3512.0
US-KIDNEY TRANSPLANT,76776,790.0
INTERLEUKIN-6,83529,108.0
S-ILIAC REVAS W STNT,SURG,60052.0
WBC COUNT,85048,75.0
HE-ORBITS 4V DR,70200,979.0
ADM COV2 VAC (M) 1ST,0011A,60.0
H PYLORI AB QL,86677,269.0
"AUTO COMPONENT,PROCS",86890,1901.0
S-JNT ASP INJ MAJ UN,SURG,957.0
"UREA NITROGEN,QUAN",84520,101.0
P-INS DUAL PAC SYS,SURG,49105.0
OR LEV 1 INI 15 MIN,SURG,7634.0
SP-T SPINE 2 VIEW DR,72070,423.0
TB TEST CELL IM MEAS,86480,458.0
THER ACTVT-15MIN OT,97530,323.0
DPYD GENE COMMON,81232,557.0
CT-ARTHROGRAM SI JTS,G0260,2658.0
NEG PR WN LT50CM PT,97605,955.0
MOLEC PATH LEV 2,81401,1934.0
TIROFIBAN 0.25MG INJ,J3246,17.0
"HEP B CORE AB, IGM",86705,106.0
COMPARATIVE ANALYS,81265,907.0
PLTT NEUTRALIZATION,85597,174.0
HIV1 AG HIV1 HIV2 AB,G0433,98.0
SPINAL TAP DIAG W-IM,62328,4516.0
IR-PRIM ART MECH THR,SURG,40873.0
DRUG UNSPEC QUANT,80299,376.0
S-TC PLC STN ART EA,SURG,1117.0
THERAPEUTIC DX SQ IM,96372,276.0
S-TIB PER REV STN AT,SURG,86353.0
IMM ADM PNEU VACCINE,G0009,249.0
CALCIUM TOTAL,82310,96.0
DESOXYCORTICOSTERONE,82633,195.0
LDR PROCEDURE MINOR,SURG,301.0
S-TIB-PER REVAS ADD,SURG,1266.0
LEVEL 5 NP,G0463,1601.0
S-IVUS ADD VESSEL,SURG,7537.0
LIPOPROT BLD BY NMR,83704,232.0
DIGOXIN IMMUNE FAB,J1162,15000.0
DEXA AXIAL,77080,862.0
MR-CERV SPINE WO,72141,5315.0
GI LAB LEV 1 1ST 15,SURG,2820.0
URINE PREG TEST QL,81025,201.0
S-SALIVARY GLAND BX,SURG,2391.0
ATROPINE 0.01MG INJ,J0461,0.5
IC-PRQ DE CR REV AMI,C9606,55666.0
CEFUROXIME 750MG INJ,J0697,23.0
DNA-RNA SEQUENCING,87153,368.0
HLA1 TYP HR 1 AL EA,81381,563.0
TISSUE EX FOR FUNGI,87220,250.0
LE-PELVIS DR,72170,786.0
US-UP EXT DPX ART UN,93931,561.0
OT EVAL-LOW CMP COTA,97165,996.0
CATH-INFUS PERIF 1,C1751,316.0
CT-LOWER EXT WO,73700,3015.0
ADRENL/EPINEP 0.1MG,J0171,4.7
US-BREAST LIMITED,76642,684.0
S-BX SOFT TISS BACK,SURG,6857.0
HEPARIN 1000U INJ,J1644,3.5
BONE CEMENT 3,C1713,798.0
SP-CRV SPNE 6VPLS DR,72052,1074.0
SLF CR MGT-15MN COTA,97535,293.0
S-INJ AIR CONT PERIT,49400,693.0
RASBURICASE INJ .5MG,J2783,1075.0
MEROPENEM 100MG INJ,J2185,7.2
S-RPLC COMP T CVC WO,SURG,11777.0
"SUGARS, SING, QUANT",84378,65.0
ANCHOR/SCRW LEVEL 4,C1713,1575.0
S-JOINT ASP-INJ IM,20605,1051.0
CATH IVL CORNRY LV1,C1761,15002.0
MODSED OTH ADD15MIN,99157,225.0
PULSE OXIMTRY SINGLE,94760,46.0
PT EVAL- MOD CMP PTA,97162,633.0
US-UMBIL ARTER ECHO,76820,1040.0
ROPIVACAINE 1MG INJ,J2795,0.7
IR-RVSC ESWL STNT AT,SURG,49206.0
IMMUNOFIXATION ELECT,86334,285.0
US-TRANSVAGINAL,76830,889.0
MAGNES SULF 500MGINJ,J3475,91.0
CC-L HRT ART-GRF ANG,93459,85952.0
VARICELLA-ZOSTER AB,86787,229.0
NM-MYOCRD SPECT SNGL,78451,6483.0
ANCHOR/SCRW LEVEL 1,C1713,436.0
CATHETER GUIDING 1,C1887,1211.0
COLLAGEN CROSSLINKS,82523,404.0
IVIG (OCTAGAM) 500MG,J1568,310.0
IR-RVSC IV ESWL ATHR,SURG,49206.0
NM-BRAIN CSF CISTERN,78630,4088.0
DEXA PERIPHERAL,77081,369.0
PREGNENOLONE,84140,151.0
CEFOTAXIME NA 1GM,J0698,44.0
SP-NECK SOFT TISS DR,70360,761.0
ADM COV2 VAC (P) 1ST,0001A,59.0
CEFTRIAXONE 250MGINJ,J0696,5.8
IMM ADM 1ST VACCINE,90471,249.0
MODSED SAME ADD15MIN,99153,279.0
EEG 41-60 MIN,95812,2521.0
S-ABDOMEN 2ND ORDER,36246,2092.0
US-PLV PRG TRNSV,76817,911.0
US-PLV PRG 14 WKS AD,76802,466.0
IRON BINDING CAPACIT,83550,188.0
TUMR AG CA15-3 27-29,86300,279.0
CT-LOWER EXT W,73701,3786.0
US-FETAL BIO NONST,76819,1255.0
HEPARIN 1000U INJ,J1644,47.0
HISTOPLASMA,86698,149.0
CULT STL BACT W-ISOL,87045,469.0
ADM COV2 VAC (M) 1ST,0011A,59.0
NI-TTE STRESS WWO,C8928,3676.0
DIRECT COOMBS TEST,86880,76.0
VIRUS INOCULAT TISSU,87252,412.0
ADM COV2 VAC (P) 2ND,0002A,59.0
LE-KNEE BI AP STD DR,73565,313.0
THER AD IVP SAME MED,96376,668.0
IMM ADM HEP B VACCIN,G0010,228.0
LE-FOOT 3V PLUS DR,73630,693.0
S-INJ KNEE ARTHRO,27369,786.0
AMIODARONE 30MG INJ,J0282,2.9
THER ACTVT-15MIN PTA,97530,323.0
AMINO ACID SING QUAL,82127,66.0
S-BX MUSCLE PERC NDL,SURG,1947.0
IV THERAPY EA AD HR,96366,355.0
SP-LS SPINE W BND DR,72114,966.0
ELECTRON MICROSCOPY,88348,3686.0
PREDNISONE 1MG ORAL,J7512,5.5
LYMPH CHORIOMENINGIT,86727,67.0
CULTURE BLOOD BACTER,87040,485.0
"PH FLUID,NOS",83986,122.0
BLD TRAN 10 TO 12HRS,36430,3973.0
CPK ISOENZYMES,82552,118.0
MITOMYCIN 5MG INJ,J9280,563.0
CALCULUS ANAL QUANT,82360,259.0
GUIDEWIRE LEVEL 3,C1769,2247.0
CATH-ANGIO LEVEL 5,C1725,11623.0
S-REM-REP PM GEN DUL,SURG,22597.0
SURG PATH GROSS LVL1,88300,123.0
FENTANYL MS,80354,104.0
GI LEV 1 EA ADD MIN,SURG,11.0
CTA-NECK,70498,7455.0
VANCOMYCIN 500MG INJ,J3370,47.0
STRPPNG UNA BOOT PT,29580,897.0
COV19 OP COL ANY SRC,C9803,76.0
LE-KNEE BI AP STD DR,73565,313.0
IR-ARTHROGM SHLDR DR,73040,1575.0
C-PEPTIDE,84681,351.0
"DETECT AGT MULT,DNAA",87801,373.0
SPINAL TAP TX W-IM,62329,4516.0
POTASSI CHL 2MEQ INJ,J3480,9.4
MODSED SAME ADD15MIN,99153,295.0
CREATININE BLOOD,82565,113.0
ALPHA 1-ANTITRYP TOT,82103,440.0
TISSUE MARKR IMPLT 2,A4648,4121.0
SURG PATH GROSS LVL4,88305,359.0
ONDANSETRON 1MG INJ,J2405,12.0
HYDROCORTIS 100MGINJ,J1720,77.0
"PSA, COMPLEXED",84152,77.0
US-FNA W IMG ADD LES,MANUL,1352.0
SICKLE CELL TEST RED,85660,196.0
INTRINSIC FACTOR AB,86340,49.0
TACROLIMUS 1MG PO,J7507,19.0
OB TRIAGE LVL 2 EP,G0463,622.0
EXTENDED ED VISIT,99284,3184.0
LEVEL 2 EP,G0463,297.0
JOINT DEVICE IMPLT12,C1776,3550.0
PULM STRESS SIMPLE,94618,1308.0
REP DEV URINRY W/SL3,C1771,28342.0
MESH IMPLANTABLE 7,C1781,14201.0
ANCHOR/SCRW LEVEL 15,C1713,24194.0
BRUCELLA AB,86622,107.0
UE-CLAVICLE DR,73000,1253.0
TC99M MAA - DOSE,A9540,160.0
LORAZEPAM 2MG INJ,J2060,4.7
PEN G BENZ INJ 100K,J0561,52.0
MESH IMPLANTABLE 5,C1781,13479.0
HEP B VAC PED,90744,148.0
ASPERGILLUS AB,86606,104.0
MRA-NECK WO,70547,4789.0
US-HYSTEROSONOGRAPHY,76831,1210.0
AMPICILLIN/SUB 1.5GM,J0295,47.0
ANTIDPRS TRIC MS 6PL,80337,202.0
ALUMINUM,82108,83.0
MR-ABDOMEN WWO,74183,5735.0
JOINT DEVICE IMPLT 6,C1776,39747.0
PRSTHS PENILE INFL 4,C1813,27185.0
GRAFIX PRIME SQ CM,Q4133,347.0
VOLATILES,84600,137.0
CARNITINE,82379,640.0
DACARBAZINE 100MG,J9130,51.0
"FUNGUS AB, NOS",86671,467.0
PMKR SINGL RATE-RSL2,C1786,6000.0
INS HYBR AUT MUL PR,88374,572.0
PROPOFOL 10MG INJ,J2704,1.9
TRANSFERASE ALT,84460,153.0
CONN TISSUE HUMAN 3,C1762,15668.0
S-H RBC LEUKO REDU,P9016,1726.0
HE-SKULL 4V PLUS DR,70260,927.0
"STREP B,DNA,PROBE",87653,111.0
MR-LW JOINT WO,73721,5402.0
SP-SI JNTS 3VPLUS DR,72202,569.0
CPR ASSIST (NON ER),92950,1352.0
CC-RVSC IVL ATHER,SURG,49206.0
HERPES SIMP TYPE 1,86695,116.0
HYALURONON 1MG INJ,J7325,103.0
TC99M MERTIATI-DOSE,A9562,1204.0
THROMBOPLAST TIMEPTT,85730,294.0
MAGNES SULF 500MGINJ,J3475,4.7
IR-THRMBC TRAN BAL,SURG,10544.0
CH-ABDOMEN 2 VWS DR,74019,520.0
BREAST IMPLANT 5,C1789,13339.0
IR-ANGIO INTERN MAMM,75756,13346.0
PREALBUMIN,84134,249.0
PNEUMOCYSTIS CAR AGI,87281,478.0
HISTOCHEMICAL STAIN,88314,151.0
PREDNISONE 1MG ORAL,J7512,11.0
DIMETH SULF 50% 50ML,J1212,2227.0
IR-VENOGRAM EXT UNI,75820,4287.0
NI-TTE 2D W DOPP,93306,9829.0
LISTERIA MONOCYT. AB,86723,249.0
URGENT CARE LVL 2 EP,G0463,80.0
CLOSURE DEVIC VASC 1,C1760,3745.0
FETAL FIBRONECTIN,82731,1194.0
FL-UPPER GI SINGLE,74240,1494.0
ANCHOR/SCRW LEVEL 20,C1713,30701.0
LE-FEMUR 2V DR,73552,889.0
SP-SPINE SNGL VW DR,72020,662.0
JOHN CUNNINGHAM AB,86711,3083.0
LIDOCAINE 10MG IV,J2001,4.7
"SYPHILIS TEST, QUANT",86593,33.0
MRA-HEAD WWO,70546,5460.0
"PSA, SCREENING",G0103,295.0
SP-LS SPNE 4VPLUS DR,72110,1042.0
ENOXAPARIN 10MG INJ,J1650,35.0
CATH-ANGIO NONLSR L3,C2623,1528.0
NALBUPHINE 10MG INJ,J2300,47.0
BENZODIAZ MS 1-12,80346,443.0
FL-FLUORO GUIDE SPIN,77003,810.0
S-BIOPSY NECK/CHEST,SURG,5727.0
SUTURE REMOVAL/RECHE,G0463,75.0
SP-LS SPINE W BND DR,72114,966.0
"URIC ACID, BLOOD",84550,109.0
HE-SINUSES 3VPLUS DR,70220,1124.0
"IMMUNOASSAY, RIA",83519,122.0
IR-VENOUS MECH THROM,SURG,24249.0
ERTAPENEM SOD/500MG,J1335,232.0
SP-SI JNTS 3VPLUS DR,72202,569.0
CEFEPIME 500MG INJ,J0692,23.0
GENTAMICIN,80170,571.0
M-M-R II INJ,90707,352.0
NALTREXONE DEPOT 1MG,J2315,12.0
HEPATIC FUNCTION PAN,80076,181.0
S-THORACIC 2ND ORDER,36216,2801.0
S-PER PF ABL REN TUM,SURG,21205.0
AZITHROMYC 500MG INJ,J0456,47.0
CT-LOWER EXT W BI,73701,7572.0
IMPL NEURO STIM PULS,L8679,27454.0
PROCEDURE MAJOR,SURG,2913.0
MRA-NECK WWO,70549,5586.0
ETHOSUXIMIDE,80168,100.0
PIPER/TAZOB 1G/.125G,J2543,20.0
PALIPERIDONE 1MG INJ,J2426,43.0
BETA-2 GLYCOPROT AB,86146,155.0
ENOXAPARIN 10MG INJ,J1650,39.0
OVA-PARASITES SMEARS,87177,163.0
POLYS-CPAP GT4 GE6YO,95811,10385.0
S-SALIVARY GLAND BX,SURG,2391.0
MSED OTH GT5 1ST15,99156,899.0
CELL FUNCT ASSAY STI,86352,423.0
GAIT TRNNG-15MIN PT,97116,420.0
ABL1 GENE,81170,511.0
CH-ABDOMEN 3VWS DR,74021,902.0
ZIPRSIDNE MESYL 10MG,J3486,133.0
"FLUORESCENT AB,TITER",86256,73.0
ADRENL/EPINEP 0.1MG,J0171,3.0
COLLAGEN URIN /2.5ML,L8603,4771.0
C1 ESTER 10U BERINRT,J0597,223.0
LE-ANKLE 3VWS BI DR,73610,1874.0
OXYCODONE MS,80365,109.0
"SULFATE, URINE",84392,43.0
US-NON INV ARTER EXT,93923,799.0
NM-BRAIN W VASC FLOW,78606,2583.0
TC99M MEDRO TO 30MCI,A9503,311.0
IMPLANT OTHER LVL 6,C1889,31178.0
COV19 FLUAB RSV CEPH,0241U,455.0
STRPPNG UNA BOOT PT,29580,897.0
POTASSI CHL 2MEQ INJ,J3480,4.7
IMM ADM EA ADD VACC,90472,59.0
S-ASP/INJ RENL CYST,SURG,1938.0
COMP METAB PANEL,80053,321.0
RINGER LAC UP TO 1L,J7120,182.0
"IMMUNOASSAY, NOS",83520,108.0
S-THYROID CORE BX,60100,1947.0
SHEATH NON-LASR 1,C1894,1499.0
CT-LUMB SPINE W,72132,4326.0
"CYTOP EVAL,FNA,REPOR",88173,367.0
HE-FACIAL BNES 3V DR,70150,947.0
NM-URIN BLDDR REFLUX,78740,2463.0
MANNITOL 25% 50MLINJ,J2150,47.0
OLIGOCLONAL BANDS,83916,229.0
FACTOR XI,85270,296.0
CH-STRNOCLAV JNTS DR,71130,292.0
NEUR RE-ED-15MIN OT,97112,388.0
ROPIVACAINE 1MG INJ,J2795,2.3
TGSA HEMATLYMPD NEOP,81450,2519.0
"PROTHROMBIN, SUBSTIT",85611,25.0
HEPATITIS ACUTE PANE,80074,351.0
RBC PRETREAT DIFF EA,86978,574.0
S-SALIVARY GLAND BX,SURG,2391.0
LEVEL 3 EP,G0463,454.0
CT-MAXILLOFACIAL W,70487,2438.0
DNA AB SINGLE STRAND,86226,995.0
CH-RIB UNI PA CXR DR,71101,973.0
IR-REPLACE G C TUBE,49450,3512.0
IMM ADM PNEU VACCINE,G0009,254.0
S-INJ ELBOW ARTHRO,24220,685.0
"STREP A AG,EIA",87430,73.0
CT-HEART WO QUAL,75571,294.0
COMPLEMENT-FUNC ACT,86161,399.0
CATECHOL FRACTNTD,82384,362.0
CYCLOSPOR PAREN250MG,J7516,307.0
CULT URINE-COLONY CT,87086,275.0
BUPIVACAINE LIPO 1MG,C9290,4.9
MIDAZOL HCL 1MG INJ,J2250,1.2
THER EXRCS-15MIN PT,97110,304.0
S-THYROID CORE BX,60100,1947.0
JOINT DEVICE IMPLT 1,C1776,7487.0
IV HYDRAT EA ADD HR,96361,265.0
MOG-IGG1 AB EA CBA,86362,258.0
IC-PRQ DE CR REV CAB,C9604,55666.0
SP-LS SPNE 4VPLUS DR,72110,1042.0
IR-ANGIO EXTREM BI,75716,13185.0
STNT NON-COR TM DL 2,C2625,12096.0
IR-CAT DIAL TRAN BAL,SURG,27408.0
CHEMO INTRATHEC,96450,3724.0
TC99M PERTECHNET-MCI,A9512,143.0
IMM ADM 1ST VACCINE,90471,249.0
F2 GEN ANALY 20210GA,81240,411.0
LOCM 200-299MG/ML 1M,Q9966,6.8
"TREP. PALLIDUM,CONFI",86780,116.0
IR-CAT DIAL TRAN STN,SURG,10544.0
LE-LWR EXT INFANT DR,73592,623.0
OCTREOTIDE ND 25MCG,J2354,15.0
CYP2C9 GENE AANLY CV,81227,671.0
INTERSPINOUS IMPL L1,C1821,11491.0
CTA-PELVIS,72191,6699.0
PHENYTOIN FREE,80186,91.0
NI-TTE 2D MM LTD WWO,C8924,2766.0
RHO D IG FULL 300MCG,J2790,696.0
EMBOLIZATION COIL 1,L8699,634.0
CTA-HEAD,70496,7356.0
GLUCAGON 1MG INJ,J1610,618.0
SIMPLE PROCEDURE,SURG,124.0
THER EXRCS-15MIN PT,97110,304.0
SP-EVAL SWL WO RADOP,92610,1287.0
OR LEV 4 EA ADD MIN,SURG,154.0
IR-ARTHROGRAM HIP DR,73525,2389.0
S-ILIAC REVASC,SURG,26263.0
ARTERIAL PUNCTURE,36600,536.0
US-BRST BX LOC CLP A,MANUL,4371.0
IN-111 PENTETRE-DOSE,A9572,10876.0
FL-UPPER GI DOUBLE,74246,1173.0
AD PROCEDURE OR LV 2,SURG,2864.0
STNT NONCOR TM W/O 1,C2617,2379.0
NEG PR WN GT50CM PT,97606,1759.0
MR-ORBT FAC NCK WWO,70543,6981.0
NEWBORN SCREEN,S3620,187.0
CT-FNA W IMG ADD LES,MANUL,1429.0
PARATHORMONE PTH,83970,445.0
"HHV-6, DNA AMP PROBE",87532,705.0
OBSRVATION ADDL HOUR,G0378,488.0
S-INS/REP NEURORECEV,SURG,99999.66
STNT COAT/COV W/DEL2,C1874,17138.0
VANCOMYCIN 500MG INJ,J3370,50.0
PDGFRA GENE,81314,592.0
ANCHOR/SCRW LEVEL 19,C1713,62212.0
CBC-PLT AUTORP CDM,85049,75.0
IR-TRNS THRM ART VN,SURG,4687.0
CH-CHEST 2V DR,71046,846.0
CHLMYD TRACH DNA AMP,87491,345.0
BEHAV QL ANAL VOICE,92524,916.0
IR-CAT DIAL DIAG ANG,SURG,2526.0
"RETIC COUNT, FLOW",85045,426.0
NATRIURETIC PEPTIDE,83880,879.0
THYROID STIM TSH,84443,272.0
GGT,82977,118.0
ATROPINE 0.01MG INJ,J0461,0.5
UE-WRIST 3V PLUS DR,73110,627.0
ANCHOR/SCRW LEVEL 13,C1713,17138.0
CERULOPLASMIN,82390,98.0
BRONCHO EVAL PRE/PST,94060,1889.0
ANCHOR/SCRW LEVEL 7,C1713,4492.0
CT-HEAD WO,70450,3554.0
ANTITHROMBIN IIIACTI,85300,519.0
AQUAPORIN-4 AB CBA,86052,311.0
HBSAG,87340,199.0
AMPICILLIN 500MG INJ,J0290,21.0
PT EVAL- HGH CMP PT,97163,633.0
IDARUCIZU 2.5GM/50ML,C9399,7212.0
IV THERAPY DX 1 HR,96365,1019.0
UE-SHOULDER 1V DR,73020,681.0
CHEMO INTRATHEC,96450,3294.0
ADENOSINE 1MG INJ,J0153,11.0
RSV AB,86756,41.0
AMPICILLIN 500MG INJ,J0290,23.0
US-DPLXSCN GRFT ARTA,93978,1573.0
MORPHINE UP TO 10MG,J2270,47.0
S-REMOVE LUNG CATH,SURG,2564.0
CATH INTRAVAS ULTRA1,C1753,14690.0
"PROTEIN C, ACTIVITY",85303,94.0
IMM ADM PNEU VACCINE,G0009,228.0
IMM ADM 1ST VACCINE,90471,228.0
APHASIA ASSESS 1HOUR,96105,916.0
MASS SPECTRO QUANT,83789,141.0
KO ADJ KNEE RIGID,L1832,2112.0
DIPTH/TETA/PERT PED,90700,179.0
DOXORUBICIN 10MG INJ,J9000,48.0
CC-RHC,93451,15165.0
S-PRI ART M THRO ADD,SURG,2801.0
CORTISOL FREE,82530,423.0
HEP B VAC PED,90744,153.0
NM-GATED BLD POOL SN,78472,3482.0
HERPES SIMP NON-SPEC,86694,106.0
TRIGLYCERIDES,84478,116.0
CH-ABDOMEN 1 VIEW DR,74018,676.0
UE-HUMERUS DR,73060,671.0
CALCIUM IONIZED,82330,282.0
CULT URINE W-P ID,87088,60.0
PIPER/TAZOB 1G/.125G,J2543,24.0
